"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Season","U_depth_m","L_depth_m","Method","SOM_perc","BD_reported_g_cm3","DOI"
"76","Ford et al 2016","HF AH 4","AH",4,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",12.96,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"77","Ford et al 2016","HF AH 4","AH",4,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",13.22,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"78","Ford et al 2016","HF AH 4","AH",4,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.2,0.3,"LOI",10.73,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"79","Ford et al 2016","HF AH 5","AH",5,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",11.89,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"80","Ford et al 2016","HF AH 5","AH",5,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",NA,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"81","Ford et al 2016","HF AH 5","AH",5,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.2,0.3,"LOI",8.91,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"82","Ford et al 2016","HF AH 6","AH",6,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",12.73,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"83","Ford et al 2016","HF AH 6","AH",6,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",15.47,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"84","Ford et al 2016","HF AH 6","AH",6,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.2,0.3,"LOI",17.17,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"85","Ford et al 2016","HF AH 7","AH",7,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",19.28,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"86","Ford et al 2016","HF AH 7","AH",7,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",16.91,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"87","Ford et al 2016","HF AH 7","AH",7,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.2,0.3,"LOI",12.29,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"88","Ford et al 2016","HF AH 8","AH",8,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",11.97,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"89","Ford et al 2016","HF AH 8","AH",8,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",12.32,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"90","Ford et al 2016","HF AH 8","AH",8,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.2,0.3,"LOI",11.89,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"91","Ford et al 2016","HF AH 9","AH",9,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",13.92,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"92","Ford et al 2016","HF AH 9","AH",9,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",12.39,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"93","Ford et al 2016","HF AH 9","AH",9,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.2,0.3,"LOI",11.65,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"94","Ford et al 2016","HF AH 10","AH",10,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",11.64,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"95","Ford et al 2016","HF AH 10","AH",10,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",11.98,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"96","Ford et al 2016","HF AH 10","AH",10,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.2,0.3,"LOI",10.58,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"97","Ford et al 2016","HF AH 11","AH",11,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",11.36,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"98","Ford et al 2016","HF AH 11","AH",11,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",9.99,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
